text_code	text
page_title	Jordi Rocafort - Inici
hero_subtitle	Estudiant de BUT Informàtica • Itinerari DACS
hero_intro	Apassionat pel desenvolupament de baix nivell, la simulació científica i l'aeroespacial. Dissenyo solucions robustes per comprendre què passa "sota el capó".
btn_projects	Veure els meus projectes
btn_about	Saber-ne més sobre mi
card_projects_title	Els meus Projectes
card_projects_desc	Des de la simulació orbital (TLE) fins a un motor de joc en falsa 3D, descobreix les meves realitzacions tècniques.
card_projects_link	Explorar
card_profile_title	El meu Perfil
card_profile_desc	La meva trajectòria, les meves competències tècniques (C, Java, Sistemes) i la meva filosofia de desenvolupador.
card_profile_link	Descobrir
card_contact_title	Contactar-me
card_contact_desc	Una pregunta tècnica, una proposta de pràctiques o simplement ganes de parlar?
card_contact_link	Enviar un missatge
